Date,EURUSD,US3M,EUR3M,EUR3M fwd,EURIBOR
6/1/2001,0.8475,3.9425,4.513,-11.9,4.513
6/4/2001,0.8457,3.94,4.496,-11.65,4.496
6/5/2001,0.854,3.94,4.486,-11.45,4.486
6/6/2001,0.8478,3.9275,4.449,-11.4,4.449
6/7/2001,0.8509,3.91813,4.433,-12.1,4.433
6/8/2001,0.8505,3.91563,4.451,-12.25,4.451
6/11/2001,0.8424,3.91,4.451,-12.6,4.451
6/12/2001,0.8535,3.89875,4.449,-13.45,4.449
6/13/2001,0.8553,3.89,4.47,-14.05,4.47
6/14/2001,0.8624,3.8775,4.474,-14.35,4.474
6/15/2001,0.861,3.85125,4.465,-14.8,4.465
6/18/2001,0.8608,3.78688,4.464,-15.5,4.464
6/19/2001,0.854,3.7575,4.462,-16.6,4.462
6/20/2001,0.8547,3.75,4.452,-15.65,4.452
6/21/2001,0.8546,3.73875,4.433,-16.35,4.433
6/22/2001,0.8576,3.73,4.433,-16.9,4.433
6/25/2001,0.8591,3.705,4.432,-16.55,4.432
6/26/2001,0.8635,3.7,4.426,-16,4.426
6/27/2001,0.8597,3.71,4.435,-14,4.435
6/28/2001,0.8442,3.79,4.41,-11.5,4.41
6/29/2001,0.849,3.83625,4.441,-13,4.441
7/2/2001,0.8478,3.83,4.435,-12.75,4.435
7/3/2001,0.8484,3.82,4.416,-14.2,4.416
7/4/2001,0.8463,3.8275,4.448,-13.55,4.448
7/5/2001,0.8364,3.82,4.446,-14.5,4.446
7/6/2001,0.8476,3.81,4.471,-15.75,4.471
7/9/2001,0.85,3.79,4.482,-15.95,4.482
7/10/2001,0.855,3.79,4.499,-16.8,4.499
7/11/2001,0.8588,3.76,4.487,-16.65,4.487
7/12/2001,0.8536,3.77,4.487,-16.6,4.487
7/13/2001,0.8547,3.75875,4.484,-16.2,4.484
7/16/2001,0.8522,3.76,4.486,-16.5,4.486
7/17/2001,0.8595,3.76,4.483,-16.25,4.483
7/18/2001,0.8735,3.76,4.483,-17.25,4.483
7/19/2001,0.8708,3.71,4.466,-17.8,4.466
7/20/2001,0.8711,3.70875,4.475,-17.75,4.475
7/23/2001,0.869,3.7,4.474,-17.45,4.474
7/24/2001,0.8739,3.7,4.469,-17.95,4.469
7/25/2001,0.8813,3.7,4.466,-17.25,4.466
7/26/2001,0.8777,3.705,4.464,-17.75,4.464
7/27/2001,0.8774,3.69625,4.457,-17.35,4.457
7/30/2001,0.8742,3.67875,4.455,-17.45,4.455
7/31/2001,0.8764,3.67,4.444,-17.7,4.444
8/1/2001,0.881,3.65625,4.429,-17.85,4.429
8/2/2001,0.8836,3.65,4.415,-18.15,4.415
8/3/2001,0.8844,3.65625,4.433,-17.6,4.433
8/6/2001,0.8813,3.65,4.425,-17.6,4.425
8/7/2001,0.8777,3.64375,4.425,-18.6,4.425
8/8/2001,0.8804,3.6375,4.431,-18.5,4.431
8/9/2001,0.8923,3.595,4.41,-18.7,4.41
8/10/2001,0.8934,3.58875,4.382,-18.3,4.382
8/13/2001,0.8965,3.57,4.362,-18.6,4.362
8/14/2001,0.9032,3.56,4.36,-19.2,4.36
8/15/2001,0.914,3.56,4.357,-19,4.357
8/16/2001,0.9115,3.56125,4.346,-18.85,4.346
8/17/2001,0.9182,3.5475,4.345,-19.25,4.345
8/20/2001,0.9144,3.52875,4.335,-18.95,4.335
8/21/2001,0.9182,3.5275,4.325,-19.1,4.325
8/22/2001,0.9144,3.5125,4.308,-18.9,4.308
8/23/2001,0.9151,3.5125,4.313,-18.5,4.313
8/24/2001,0.9142,3.5175,4.311,-18,4.311
8/27/2001,0.9115,3.5175,4.315,-18.35,4.315
8/28/2001,0.9129,3.525,4.305,-17.75,4.305
8/29/2001,0.9089,3.5,4.27,-18.3,4.27
8/30/2001,0.9161,3.49,4.276,-18.2,4.276
8/31/2001,0.9123,3.4625,4.253,-18.05,4.253
